"obs" "date_surv" "gen" "date_birth" "region" "occup" "income" "single" "use" "intens"
349 2016-11-23 "f" 2004-02-08 "Bangkok" "school" 0 1 0 0
350 2016-11-26 "m" 1997-03-16 "Bangkok" "univ" 0 1 1 3
351 2016-11-13 "m" 1998-03-11 "Central" "blue collar" 1873 1 1 3
352 2016-11-30 "f" 1987-05-08 "NorthEast" "blue collar" 221 0 0 0
353 2016-11-28 "m" 1995-03-27 "East" "univ" 0 1 1 1
354 2016-11-20 "m" 1992-04-11 "Central" "white collar" 6944 1 1 6
355 2016-12-03 "m" 1971-07-31 "NorthEast" "blue collar" 2489 1 0 0
356 2016-12-02 "f" 1997-03-16 "NorthEast" "blue collar" 737 0 1 2
357 2016-12-10 "f" 1992-04-11 "East" "blue collar" 2462 1 1 4
358 2016-12-09 "f" 1984-05-23 "NorthEast" "blue collar" 4499 1 0 0
359 2016-11-20 "f" 2000-02-29 "Bangkok" "blue collar" 1468 1 0 0
360 2016-12-04 "m" 2002-02-18 "East" "school" 0 1 1 2
361 2016-12-09 "m" 2004-02-08 "East" "school" 0 1 0 0
362 2016-11-21 "f" 1974-07-15 "NorthEast" "blue collar" 900 1 0 0
363 2016-11-25 "f" 2007-01-23 "NorthEast" "school" 0 1 0 0
364 2016-11-17 "f" 1968-08-15 "Bangkok" "blue collar" 2163 1 0 0
365 2016-11-23 "m" 1996-03-21 "NorthEast" "blue collar" 172 1 0 0
366 2016-10-31 "f" 1988-05-02 "Bangkok" "unempl" 0 0 0 0
367 2016-11-11 "m" 1990-04-22 "Central" "white collar" 3912 1 0 0
368 2016-11-10 "f" 2005-02-02 "East" "school" 0 1 1 5
369 2016-11-28 "f" 1980-06-13 "Central" "blue collar" 633 1 1 5
370 2016-12-07 "f" 1983-05-29 "Bangkok" "unempl" 0 1 1 7
371 2016-11-18 "m" 1985-05-18 "Central" "unempl" 0 1 0 0
372 2016-11-23 "f" 1997-03-16 "Bangkok" "blue collar" 1356 1 1 1
373 2016-11-23 "m" 2005-02-02 "Bangkok" "school" 0 1 0 0
374 2016-11-02 "f" 1980-06-13 "Central" "blue collar" 2808 1 1 8
375 2016-11-15 "m" 2003-02-13 "NorthEast" "school" 0 1 0 0
376 2016-11-08 "f" 1992-04-11 "East" "white collar" 9600 0 0 0
377 2016-11-22 "m" 2007-01-23 "Central" "school" 0 1 1 2
378 2016-12-07 "m" 2006-01-28 "Bangkok" "school" 0 1 1 2
379 2016-11-07 "f" 1989-04-27 "Bangkok" "white collar" 6867 1 1 4
380 2016-12-08 "m" 1989-04-27 "NorthEast" "blue collar" 2443 1 1 2
381 2016-11-04 "m" 1988-05-02 "NorthEast" "blue collar" 2581 1 0 0
382 2016-11-07 "f" 2000-02-29 "East" "blue collar" 3568 1 1 2
383 2016-12-03 "f" 1971-07-31 "Bangkok" "blue collar" 2891 1 0 0
384 2016-11-25 "m" 2006-01-28 "East" "school" 0 1 0 0
385 2016-11-28 "f" 1989-04-27 "South" "unempl" 0 1 0 0
386 2016-11-06 "m" 1991-04-17 "Central" "white collar" 1443 1 1 5
387 2016-12-02 "m" 1993-04-06 "Central" "blue collar" 548 1 1 2
388 2016-11-13 "m" 1977-06-29 "East" "blue collar" 1665 0 0 0
389 2016-11-01 "m" 1981-06-08 "Bangkok" "unempl" 0 1 0 0
390 2016-12-02 "f" 1978-06-24 "Central" "blue collar" 806 1 0 0
391 2016-12-06 "m" 1982-06-03 "Bangkok" "unempl" 0 1 0 0
392 2016-11-05 "m" 1993-04-06 "Bangkok" "blue collar" 5132 1 1 9
393 2016-11-22 "m" 2001-02-23 "Central" "school" 0 1 1 2
394 2016-11-03 "m" 2008-01-18 "NorthEast" "school" 0 1 1 5
395 2016-12-05 "f" 2001-02-23 "Bangkok" "school" 0 1 0 0
396 2016-12-06 "m" 1992-04-11 "Bangkok" "white collar" 2899 1 1 4
397 2016-11-19 "f" 2003-02-13 "NorthEast" "school" 0 1 1 3
398 2016-11-18 "m" 1967-08-21 "East" "blue collar" 3521 0 0 0
399 2016-11-14 "m" 1982-06-03 "South" "unempl" 0 1 0 0
400 2016-12-10 "m" 1993-04-06 "Bangkok" "blue collar" 1000 0 0 0
401 2016-11-14 "f" 2000-02-29 "Bangkok" "blue collar" 302 1 1 4
402 2016-12-03 "m" 1987-05-08 "NorthEast" "blue collar" 2339 1 1 3
403 2016-12-10 "m" 1972-07-25 "NorthEast" "blue collar" 88 1 0 0
404 2016-10-29 "m" 1987-05-08 "NorthEast" "blue collar" 1408 0 0 0
405 2016-12-10 "f" 2006-01-28 "South" "school" 0 0 1 1
406 2016-11-22 "m" 2004-02-08 "Central" "school" 0 1 0 0
407 2016-11-12 "m" 2000-02-29 "Bangkok" "school" 0 1 1 2
408 2016-11-19 "m" 1984-05-23 "North" "white collar" 6142 0 0 0
409 2016-11-24 "f" 1997-03-16 "NorthEast" "blue collar" 1810 1 0 0
410 2016-11-23 "m" 2009-01-12 "NorthEast" "school" 0 1 0 0
411 2016-11-22 "m" 1996-03-21 "Bangkok" "univ" 0 0 0 0
412 2016-11-08 "m" 1989-04-27 "Central" "white collar" 3939 1 1 3
413 2016-12-10 "f" 2005-02-02 "South" "school" 0 1 0 0
414 2016-11-24 "m" 1998-03-11 "North" "blue collar" 215 1 1 1
415 2016-11-25 "m" 1982-06-03 "North" "blue collar" 2960 0 0 0
416 2016-11-20 "f" 1994-04-01 "North" "univ" 0 1 1 11
417 2016-11-25 "m" 1984-05-23 "Bangkok" "white collar" 1695 0 0 0
418 2016-12-03 "m" 1983-05-29 "Bangkok" "blue collar" 403 0 0 0
419 2016-12-03 "m" 1984-05-23 "North" "blue collar" 868 1 0 0
420 2016-11-18 "f" 1990-04-22 "Central" "unempl" 0 1 0 0
421 2016-11-28 "m" 1994-04-01 "NorthEast" "blue collar" 1415 1 0 0
422 2016-10-31 "m" 1993-04-06 "South" "blue collar" 14 1 0 0
423 2016-11-04 "m" 1987-05-08 "Bangkok" "white collar" 7625 0 1 3
424 2016-12-07 "f" 2002-02-18 "NorthEast" "school" 0 1 1 3
425 2016-11-17 "m" 1983-05-29 "Central" "blue collar" 1626 0 0 0
426 2016-11-17 "f" 1979-06-19 "Bangkok" "white collar" 1139 0 1 3
427 2016-11-19 "m" 1994-04-01 "NorthEast" "univ" 0 0 0 0
428 2016-11-24 "f" 2004-02-08 "Bangkok" "school" 0 1 1 2
429 2016-11-09 "m" 1989-04-27 "Central" "unempl" 0 1 1 7
430 2016-12-08 "m" 1986-05-13 "NorthEast" "blue collar" 370 1 0 0
431 2016-11-15 "m" 1994-04-01 "NorthEast" "blue collar" 1492 1 0 0
432 2016-11-20 "f" 1977-06-29 "Central" "white collar" 1071 1 0 0
433 2016-11-14 "f" 1987-05-08 "East" "blue collar" 2391 0 0 0
434 2016-12-07 "m" 1994-04-01 "South" "blue collar" 759 1 1 2
435 2016-11-25 "m" 1980-06-13 "Central" "blue collar" 2135 1 1 9
436 2016-12-06 "f" 1986-05-13 "Bangkok" "unempl" 0 1 1 3
437 2016-11-08 "f" 1989-04-27 "East" "white collar" 4276 0 0 0
438 2016-11-23 "m" 2007-01-23 "NorthEast" "school" 0 1 0 0
439 2016-11-26 "f" 1977-06-29 "Bangkok" "blue collar" 3138 1 0 0
440 2016-11-09 "f" 1992-04-11 "Bangkok" "blue collar" 1917 1 1 4
441 2016-11-10 "f" 1987-05-08 "Bangkok" "white collar" 3166 1 0 0
442 2016-11-30 "f" 1983-05-29 "NorthEast" "unempl" 0 1 1 6
443 2016-11-14 "f" 1996-03-21 "North" "univ" 0 0 0 0
444 2016-11-05 "m" 2005-02-02 "East" "school" 0 1 1 5
445 2016-12-01 "f" 1985-05-18 "NorthEast" "white collar" 5638 1 0 0
446 2016-11-13 "m" 1995-03-27 "South" "blue collar" 480 1 1 2
447 2016-10-30 "m" 2007-01-23 "South" "school" 0 1 1 2
448 2016-11-13 "f" 1991-04-17 "Bangkok" "white collar" 3622 1 1 7
449 2016-11-02 "m" 1984-05-23 "Bangkok" "blue collar" 3767 1 1 3
450 2016-11-05 "f" 1993-04-06 "South" "univ" 0 1 1 1
451 2016-11-09 "f" 1990-04-22 "North" "blue collar" 2525 1 1 1
452 2016-11-08 "m" 1985-05-18 "Bangkok" "blue collar" 2660 0 0 0
453 2016-12-01 "f" 1996-03-21 "Bangkok" "blue collar" 1578 1 1 2
454 2016-11-12 "m" 2001-02-23 "Central" "school" 0 1 0 0
455 2016-11-23 "f" 2004-02-08 "NorthEast" "school" 0 1 0 0
456 2016-11-29 "f" 2001-02-23 "South" "school" 0 1 1 2
457 2016-11-13 "f" 2003-02-13 "NorthEast" "school" 0 1 0 0
458 2016-12-02 "f" 1974-07-15 "East" "white collar" 9644 0 0 0
459 2016-11-11 "f" 2006-01-28 "NorthEast" "school" 0 1 0 0
460 2016-11-20 "f" 1981-06-08 "North" "blue collar" 1112 0 0 0
461 2016-11-07 "f" 1973-07-20 "NorthEast" "white collar" 6454 0 0 0
462 2016-12-08 "f" 1994-04-01 "NorthEast" "blue collar" 3577 1 0 0
463 2016-12-09 "f" 1989-04-27 "East" "blue collar" 2129 1 1 5
464 2016-11-07 "m" 1997-03-16 "NorthEast" "blue collar" 264 1 0 0
465 2016-11-11 "f" 1981-06-08 "East" "white collar" 7768 0 0 0
466 2016-11-02 "m" 1983-05-29 "NorthEast" "white collar" 404 1 0 0
467 2016-11-19 "f" 1982-06-03 "North" "blue collar" 309 1 0 0
468 2016-11-11 "f" 1980-06-13 "East" "blue collar" 2221 1 0 0
469 2016-11-18 "m" 1973-07-20 "NorthEast" "blue collar" 3028 0 0 0
470 2016-12-05 "f" 2004-02-08 "Central" "school" 0 1 1 2
471 2016-10-31 "m" 1989-04-27 "Central" "white collar" 423 1 1 6
472 2016-11-17 "m" 1988-05-02 "NorthEast" "white collar" 7139 0 0 0
473 2016-12-02 "m" 1986-05-13 "Bangkok" "unempl" 0 1 0 0
474 2016-11-25 "m" 2004-02-08 "NorthEast" "school" 0 1 0 0
475 2016-11-10 "m" 2004-02-08 "NorthEast" "school" 0 1 1 2
476 2016-11-12 "f" 2003-02-13 "Bangkok" "school" 0 1 1 1
477 2016-11-12 "m" 1980-06-13 "Bangkok" "blue collar" 990 1 1 11
478 2016-10-30 "m" 1992-04-11 "North" "blue collar" 1617 1 1 3
479 2016-11-21 "m" 1997-03-16 "NorthEast" "univ" 0 1 0 0
480 2016-11-10 "f" 1968-08-15 "Central" "blue collar" 5723 0 0 0
481 2016-11-07 "m" 1982-06-03 "Central" "blue collar" 395 0 0 0
482 2016-11-07 "m" 1970-08-05 "Bangkok" "unempl" 0 1 0 0
483 2016-11-21 "f" 2003-02-13 "East" "school" 0 1 0 0
484 2016-12-04 "f" 1969-08-10 "North" "blue collar" 2817 0 0 0
485 2016-12-07 "m" 1974-07-15 "Bangkok" "blue collar" 1186 0 0 0
486 2016-11-21 "f" 1976-07-04 "Central" "blue collar" 2148 1 1 4
487 2016-11-12 "f" 2002-02-18 "NorthEast" "school" 0 1 1 2
488 2016-11-19 "f" 2000-02-29 "North" "school" 0 1 1 2
489 2016-11-16 "f" 1995-03-27 "NorthEast" "univ" 0 0 1 2
490 2016-11-18 "m" 1987-05-08 "Central" "blue collar" 3000 0 0 0
491 2016-12-01 "f" 1990-04-22 "NorthEast" "blue collar" 4944 1 1 3
492 2016-11-26 "m" 2004-02-08 "Central" "school" 0 1 1 2
493 2016-11-24 "f" 1981-06-08 "NorthEast" "white collar" 3812 1 1 3
494 2016-11-16 "f" 1999-03-06 "Bangkok" "blue collar" 2859 1 1 5
495 2016-11-30 "m" 2006-01-28 "NorthEast" "school" 0 1 0 0
496 2016-11-18 "f" 1989-04-27 "NorthEast" "blue collar" 3028 1 0 0
497 2016-11-27 "m" 2004-02-08 "NorthEast" "school" 0 1 0 0
498 2016-11-15 "f" 1992-04-11 "South" "blue collar" 2935 0 0 0
499 2016-11-09 "f" 1968-08-15 "East" "blue collar" 2578 1 0 0
500 2016-11-04 "f" 1996-03-21 "NorthEast" "unempl" 0 1 1 6
501 2016-11-06 "f" 1984-05-23 "South" "white collar" 11837 1 1 6
502 2016-11-07 "f" 1992-04-11 "Bangkok" "blue collar" 1580 1 1 3
503 2016-11-11 "f" 1997-03-16 "NorthEast" "blue collar" 294 1 0 0
504 2016-12-07 "f" 1986-05-13 "Central" "white collar" 9206 0 0 0
505 2016-11-29 "m" 1984-05-23 "NorthEast" "blue collar" 168 0 0 0
506 2016-11-26 "f" 1999-03-06 "South" "school" 0 1 1 8
507 2016-11-09 "m" 1990-04-22 "NorthEast" "blue collar" 842 1 0 0
508 2016-11-01 "m" 2007-01-23 "East" "school" 0 1 0 0
509 2016-12-04 "f" 1983-05-29 "Bangkok" "blue collar" 504 0 0 0
510 2016-12-03 "m" 1992-04-11 "Bangkok" "blue collar" 1490 1 1 5
511 2016-11-18 "f" 1992-04-11 "Bangkok" "blue collar" 2657 1 1 2
512 2016-11-01 "f" 1999-03-06 "NorthEast" "school" 0 1 0 0
513 2016-12-01 "m" 1992-04-11 "Bangkok" "blue collar" 455 0 0 0
514 2016-12-05 "m" 2006-01-28 "Central" "school" 0 1 1 6
515 2016-12-08 "f" 1990-04-22 "Central" "blue collar" 2393 1 0 0
516 2016-11-25 "m" 1981-06-08 "Central" "white collar" 1133 1 1 4
517 2016-11-28 "f" 1995-03-27 "NorthEast" "blue collar" 1040 1 1 1
518 2016-12-04 "m" 2007-01-23 "Central" "school" 0 1 1 2
519 2016-12-02 "f" 1991-04-17 "NorthEast" "white collar" 2215 1 1 2
520 2016-11-15 "m" 1986-05-13 "Bangkok" "white collar" 3021 0 0 0
521 2016-11-26 "m" 1983-05-29 "NorthEast" "blue collar" 1792 0 0 0
522 2016-11-10 "m" 1994-04-01 "North" "blue collar" 2593 1 1 1
523 2016-11-08 "m" 1990-04-22 "Bangkok" "white collar" 2049 0 0 0
524 2016-11-09 "m" 2002-02-18 "NorthEast" "school" 0 1 0 0
525 2016-11-11 "m" 1991-04-17 "Bangkok" "white collar" 2641 1 0 0
526 2016-11-09 "m" 1982-06-03 "Central" "white collar" 5250 1 0 0
527 2016-12-10 "m" 2005-02-02 "North" "school" 0 1 0 0
528 2016-11-18 "f" 1994-04-01 "East" "blue collar" 3513 1 1 3
529 2016-11-26 "m" 2004-02-08 "Central" "school" 0 1 0 0
530 2016-11-08 "m" 1988-05-02 "North" "blue collar" 2528 0 0 0
531 2016-11-20 "m" 1991-04-17 "East" "blue collar" 2164 1 1 2
532 2016-11-05 "f" 1980-06-13 "NorthEast" "white collar" 3683 0 0 0
533 2016-11-29 "f" 1974-07-15 "NorthEast" "unempl" 0 1 0 0
534 2016-12-09 "m" 1988-05-02 "Central" "blue collar" 2480 1 1 4
535 2016-11-21 "f" 1995-03-27 "NorthEast" "unempl" 0 1 0 0
536 2016-11-30 "m" 1991-04-17 "Bangkok" "blue collar" 1264 1 1 2
537 2016-11-16 "f" 1997-03-16 "East" "blue collar" 2595 1 0 0
538 2016-10-30 "f" 2007-01-23 "Central" "school" 0 1 0 0
539 2016-11-20 "f" 1990-04-22 "Bangkok" "blue collar" 541 1 1 4
540 2016-11-07 "f" 1999-03-06 "NorthEast" "blue collar" 1686 0 0 0
541 2016-12-10 "f" 1984-05-23 "East" "white collar" 2543 1 1 6
542 2016-11-20 "f" 2007-01-23 "East" "school" 0 1 0 0
543 2016-12-04 "f" 1989-04-27 "South" "white collar" 2922 0 0 0
544 2016-11-19 "f" 1993-04-06 "Bangkok" "blue collar" 721 1 1 2
545 2016-11-21 "m" 1999-03-06 "Bangkok" "school" 0 1 1 5
546 2016-11-17 "m" 1987-05-08 "East" "blue collar" 207 1 1 4
547 2016-10-30 "m" 1998-03-11 "Bangkok" "school" 0 1 1 2
548 2016-11-07 "m" 2000-02-29 "Bangkok" "blue collar" 1748 1 1 2
549 2016-12-07 "m" 1991-04-17 "Central" "blue collar" 3476 1 1 4
550 2016-11-23 "m" 1995-03-27 "Bangkok" "blue collar" 1288 1 0 0
551 2016-12-08 "f" 1999-03-06 "Bangkok" "blue collar" 2594 1 1 2
552 2016-12-04 "m" 1987-05-08 "East" "blue collar" 1817 1 0 0
553 2016-11-02 "m" 1975-07-10 "NorthEast" "unempl" 0 1 0 0
554 2016-10-31 "m" 2005-02-02 "Bangkok" "school" 0 1 1 10
555 2016-11-28 "m" 1990-04-22 "East" "blue collar" 2203 1 0 0
556 2016-11-10 "f" 1987-05-08 "NorthEast" "blue collar" 751 0 0 0
557 2016-11-22 "m" 1992-04-11 "NorthEast" "blue collar" 971 1 0 0
558 2016-12-07 "m" 1996-03-21 "East" "blue collar" 1662 1 1 4
559 2016-11-15 "f" 1990-04-22 "Central" "blue collar" 510 1 1 11
560 2016-12-09 "f" 1975-07-10 "Bangkok" "blue collar" 278 0 0 0
561 2016-11-12 "m" 2002-02-18 "Bangkok" "school" 0 1 1 2
562 2016-11-03 "m" 1992-04-11 "NorthEast" "white collar" 7622 1 1 4
563 2016-11-16 "f" 1980-06-13 "Bangkok" "blue collar" 3098 1 1 1
564 2016-11-03 "f" 1968-08-15 "Bangkok" "blue collar" 1435 1 0 0
565 2016-11-04 "m" 1993-04-06 "North" "blue collar" 1575 0 0 0
566 2016-11-08 "f" 2007-01-23 "Bangkok" "school" 0 1 1 1
567 2016-11-22 "f" 2000-02-29 "North" "blue collar" 3197 1 0 0
568 2016-11-21 "m" 2007-01-23 "NorthEast" "school" 0 1 0 0
569 2016-11-11 "m" 1987-05-08 "South" "white collar" 6330 1 0 0
570 2016-11-20 "f" 1981-06-08 "Central" "unempl" 0 1 0 0
571 2016-11-03 "f" 2006-01-28 "East" "school" 0 1 1 4
572 2016-11-17 "m" 1994-04-01 "Bangkok" "univ" 0 0 1 1
573 2016-10-30 "f" 2003-02-13 "NorthEast" "school" 0 1 0 0
574 2016-11-02 "m" 1989-04-27 "East" "blue collar" 2173 1 0 0
575 2016-11-25 "f" 1999-03-06 "Central" "blue collar" 67 1 1 5
576 2016-11-13 "m" 1996-03-21 "South" "univ" 0 1 1 5
577 2016-11-26 "f" 1986-05-13 "Central" "blue collar" 1268 0 1 1
578 2016-10-29 "f" 1989-04-27 "Bangkok" "blue collar" 3461 1 0 0
579 2016-10-30 "m" 1987-05-08 "North" "white collar" 111 1 0 0
580 2016-11-20 "m" 1973-07-20 "Central" "blue collar" 1180 0 0 0
581 2016-11-16 "f" 1971-07-31 "NorthEast" "blue collar" 764 1 0 0
582 2016-11-12 "f" 1999-03-06 "NorthEast" "blue collar" 1263 1 0 0
583 2016-11-06 "m" 1983-05-29 "NorthEast" "white collar" 4651 0 0 0
584 2016-12-10 "m" 1981-06-08 "NorthEast" "white collar" 5217 0 0 0
585 2016-12-03 "f" 1996-03-21 "Central" "blue collar" 100 1 1 3
586 2016-11-22 "f" 1999-03-06 "Central" "blue collar" 299 1 1 3
587 2016-11-17 "f" 1982-06-03 "Bangkok" "blue collar" 254 1 0 0
588 2016-10-30 "f" 1989-04-27 "North" "unempl" 0 1 1 1
589 2016-10-31 "f" 1972-07-25 "Central" "blue collar" 1273 1 0 0
590 2016-12-07 "f" 1991-04-17 "NorthEast" "unempl" 0 1 0 0
591 2016-11-01 "f" 2000-02-29 "North" "blue collar" 1724 1 0 0
592 2016-11-26 "m" 2001-02-23 "NorthEast" "school" 0 1 0 0
593 2016-10-30 "f" 1972-07-25 "NorthEast" "blue collar" 1241 0 0 0
594 2016-11-10 "m" 1985-05-18 "Bangkok" "blue collar" 2022 1 0 0
595 2016-11-11 "f" 1999-03-06 "NorthEast" "blue collar" 5579 1 1 3
596 2016-11-01 "f" 1987-05-08 "East" "white collar" 3114 1 1 2
597 2016-11-10 "m" 2005-02-02 "Bangkok" "school" 0 1 1 2
598 2016-11-29 "f" 1994-04-01 "North" "blue collar" 1908 1 0 0
599 2016-11-06 "m" 1992-04-11 "Bangkok" "blue collar" 1081 1 1 2
600 2016-11-27 "m" 1990-04-22 "Central" "blue collar" 163 1 0 0
601 2016-11-23 "f" 1972-07-25 "Bangkok" "blue collar" 1416 1 0 0
602 2016-11-21 "f" 1994-04-01 "Central" "blue collar" 3246 1 1 4
603 2016-11-13 "f" 1991-04-17 "Central" "blue collar" 823 1 1 14
604 2016-11-21 "m" 1994-04-01 "East" "univ" 0 1 1 1
605 2016-12-09 "f" 2000-02-29 "East" "school" 0 1 1 4
606 2016-11-06 "f" 1985-05-18 "East" "white collar" 5087 1 1 5
607 2016-11-04 "m" 1988-05-02 "Central" "unempl" 0 1 0 0
608 2016-11-18 "f" 1991-04-17 "NorthEast" "blue collar" 1147 1 0 0
609 2016-11-06 "f" 2001-02-23 "Bangkok" "school" 0 1 1 11
610 2016-11-04 "f" 1981-06-08 "Central" "white collar" 1525 0 0 0
611 2016-11-02 "f" 2007-01-23 "South" "school" 0 1 1 2
612 2016-12-09 "f" 1992-04-11 "NorthEast" "white collar" 3589 1 1 10
613 2016-11-19 "f" 1990-04-22 "Central" "blue collar" 3507 1 1 8
614 2016-11-04 "f" 1997-03-16 "North" "univ" 0 0 0 0
615 2016-11-11 "m" 1993-04-06 "Bangkok" "univ" 0 1 1 7
616 2016-11-17 "f" 1998-03-11 "Bangkok" "blue collar" 704 0 0 0
617 2016-11-25 "m" 1971-07-31 "Central" "white collar" 5305 0 0 0
618 2016-11-15 "m" 2008-01-18 "Bangkok" "school" 0 1 0 0
619 2016-11-04 "f" 2004-02-08 "Bangkok" "school" 0 1 0 0
620 2016-12-02 "m" 2005-02-02 "NorthEast" "school" 0 0 0 0
621 2016-10-31 "f" 1992-04-11 "Central" "blue collar" 3831 1 1 5
622 2016-11-02 "m" 1973-07-20 "Bangkok" "blue collar" 212 1 0 0
623 2016-12-05 "f" 1991-04-17 "Central" "unempl" 0 1 0 0
624 2016-12-07 "m" 1999-03-06 "Bangkok" "school" 0 1 1 2
625 2016-11-03 "f" 1972-07-25 "NorthEast" "blue collar" 452 1 0 0
626 2016-11-19 "f" 1999-03-06 "North" "school" 0 1 0 0
627 2016-12-04 "m" 1997-03-16 "North" "univ" 0 1 1 1
628 2016-11-18 "m" 1997-03-16 "Bangkok" "univ" 0 1 1 4
629 2016-11-04 "m" 1990-04-22 "Central" "blue collar" 645 1 1 4
630 2016-11-02 "m" 1988-05-02 "East" "blue collar" 2451 1 1 4
631 2016-11-07 "m" 1987-05-08 "NorthEast" "white collar" 4410 0 1 1
632 2016-11-03 "f" 2000-02-29 "Bangkok" "school" 0 1 0 0
633 2016-12-05 "f" 1983-05-29 "NorthEast" "blue collar" 3854 0 0 0
634 2016-12-05 "f" 1970-08-05 "NorthEast" "white collar" 4867 0 0 0
635 2016-11-06 "m" 2002-02-18 "NorthEast" "school" 0 0 0 0
636 2016-10-30 "f" 1987-05-08 "Central" "white collar" 259 1 0 0
637 2016-12-05 "m" 2009-01-12 "NorthEast" "school" 0 1 0 0
638 2016-11-03 "f" 1992-04-11 "NorthEast" "white collar" 173 0 0 0
639 2016-12-06 "m" 1998-03-11 "Bangkok" "blue collar" 892 1 0 0
640 2016-11-14 "m" 1996-03-21 "Central" "univ" 0 0 0 0
641 2016-10-31 "f" 2000-02-29 "Central" "blue collar" 3438 1 1 3
642 2016-12-10 "m" 2003-02-13 "South" "school" 0 1 1 4
643 2016-11-25 "f" 1974-07-15 "NorthEast" "blue collar" 5315 0 0 0
644 2016-12-01 "m" 1979-06-19 "Bangkok" "white collar" 1686 1 1 3
645 2016-12-04 "f" 2003-02-13 "East" "school" 0 0 0 0
646 2016-11-09 "m" 1993-04-06 "North" "blue collar" 3030 1 1 10
647 2016-12-04 "m" 2006-01-28 "Bangkok" "school" 0 1 1 3
648 2016-11-26 "m" 2002-02-18 "Central" "school" 0 1 1 3
649 2016-11-21 "m" 1985-05-18 "Central" "blue collar" 2668 1 0 0
650 2016-11-10 "m" 1982-06-03 "Bangkok" "blue collar" 3309 1 1 7
651 2016-11-13 "f" 1995-03-27 "Bangkok" "blue collar" 1390 1 1 2
652 2016-11-07 "f" 2006-01-28 "Central" "school" 0 1 1 5
653 2016-11-19 "m" 1985-05-18 "Bangkok" "unempl" 0 1 1 2
654 2016-11-24 "f" 2009-01-12 "South" "school" 0 1 1 3
655 2016-10-30 "m" 1982-06-03 "NorthEast" "unempl" 0 1 0 0
656 2016-12-08 "f" 1989-04-27 "Central" "blue collar" 3169 1 1 4
657 2016-11-21 "m" 1983-05-29 "East" "unempl" 0 1 1 3
658 2016-11-22 "f" 1989-04-27 "Bangkok" "white collar" 57 1 0 0
659 2016-12-05 "m" 1999-03-06 "Bangkok" "school" 0 1 1 1
660 2016-11-30 "m" 1989-04-27 "NorthEast" "blue collar" 2549 1 0 0
661 2016-11-03 "f" 2005-02-02 "Central" "school" 0 1 1 3
662 2016-10-29 "m" 1992-04-11 "North" "blue collar" 1494 1 0 0
663 2016-10-29 "m" 2008-01-18 "Bangkok" "school" 0 1 0 0
664 2016-11-03 "m" 2001-02-23 "NorthEast" "school" 0 1 0 0
665 2016-12-07 "m" 1981-06-08 "NorthEast" "blue collar" 1081 1 0 0
666 2016-11-08 "m" 1983-05-29 "NorthEast" "blue collar" 114 1 0 0
667 2016-10-29 "f" 1987-05-08 "NorthEast" "blue collar" 1368 1 0 0
668 2016-11-09 "m" 1998-03-11 "South" "school" 0 1 1 7
669 2016-11-12 "f" 1989-04-27 "North" "blue collar" 2152 1 0 0
670 2016-12-10 "f" 2007-01-23 "NorthEast" "school" 0 1 0 0
671 2016-11-12 "f" 1972-07-25 "NorthEast" "blue collar" 3827 0 0 0
672 2016-12-04 "f" 2003-02-13 "Bangkok" "school" 0 1 1 3
673 2016-11-01 "f" 2005-02-02 "Central" "school" 0 1 1 7
674 2016-11-06 "f" 1987-05-08 "Central" "blue collar" 1596 0 0 0
675 2016-12-04 "m" 2008-01-18 "South" "school" 0 1 0 0
676 2016-12-05 "f" 1980-06-13 "Bangkok" "blue collar" 483 0 0 0
677 2016-11-29 "f" 2006-01-28 "Central" "school" 0 1 0 0
678 2016-12-07 "m" 1991-04-17 "Central" "blue collar" 1080 1 1 4
679 2016-10-29 "f" 1995-03-27 "NorthEast" "blue collar" 637 1 0 0
680 2016-12-08 "m" 1992-04-11 "Bangkok" "blue collar" 340 1 0 0
681 2016-11-03 "f" 1990-04-22 "NorthEast" "white collar" 2312 0 0 0
682 2016-11-24 "f" 2005-02-02 "NorthEast" "school" 0 1 0 0
683 2016-11-09 "m" 1987-05-08 "Bangkok" "white collar" 4749 1 0 0
684 2016-11-21 "m" 1992-04-11 "North" "white collar" 8428 0 1 2
685 2016-11-05 "f" 1983-05-29 "Bangkok" "blue collar" 463 1 0 0
686 2016-11-10 "f" 1998-03-11 "North" "school" 0 0 0 0
687 2016-11-25 "m" 1990-04-22 "South" "blue collar" 4908 1 1 8
688 2016-12-05 "m" 2007-01-23 "Bangkok" "school" 0 1 0 0
689 2016-12-10 "m" 2008-01-18 "NorthEast" "school" 0 0 0 0
690 2016-11-27 "f" 1999-03-06 "NorthEast" "school" 0 1 0 0
691 2016-11-15 "m" 2005-02-02 "Bangkok" "school" 0 1 1 3
692 2016-12-01 "m" 1997-03-16 "Central" "univ" 0 0 0 0
693 2016-12-02 "f" 1975-07-10 "NorthEast" "blue collar" 170 1 0 0
694 2016-12-05 "f" 1998-03-11 "NorthEast" "school" 0 1 1 4
695 2016-12-01 "f" 1987-05-08 "NorthEast" "blue collar" 3360 0 0 0
696 2016-11-05 "f" 1986-05-13 "North" "unempl" 0 0 0 0
697 2016-10-30 "f" 2004-02-08 "NorthEast" "school" 0 1 0 0
698 2016-11-28 "m" 1991-04-17 "Central" "blue collar" 36 0 1 1
699 2016-11-26 "f" 1983-05-29 "Bangkok" "unempl" 0 1 0 0
